101 | 1 | 1999.29 | Corriente
102 | 2 | 1816.06 | Corriente
103 | 3 | 5071.0 | Corriente
104 | 4 | 6270.03 | Corriente
105 | 5 | 632.78 | Ahorros
106 | 6 | 1172.35 | Ahorros
107 | 7 | 4846.58 | Ahorros
108 | 8 | 2312.79 | Ahorros
109 | 9 | 1337.5 | Ahorros
110 | 10 | 9270.35 | Corriente
111 | 11 | 9296.95 | Ahorros
112 | 12 | 5831.69 | Corriente
113 | 13 | 9573.21 | Corriente
114 | 14 | 3876.24 | Ahorros
115 | 15 | 3430.8 | Ahorros
116 | 16 | 1638.52 | Corriente
117 | 17 | 8957.5 | Ahorros
118 | 18 | 9077.69 | Ahorros
119 | 19 | 6762.34 | Corriente
120 | 20 | 2901.35 | Ahorros
121 | 21 | 2458.17 | Corriente
122 | 22 | 7055.81 | Ahorros
123 | 23 | 8912.79 | Corriente
124 | 24 | 8970.39 | Ahorros
125 | 25 | 730.57 | Ahorros
126 | 26 | 2535.65 | Ahorros
127 | 27 | 5991.06 | Ahorros
128 | 28 | 2594.8 | Corriente
129 | 29 | 5144.86 | Corriente
130 | 30 | 5430.91 | Ahorros
131 | 31 | 7394.16 | Ahorros
132 | 32 | 2204.6 | Ahorros
133 | 33 | 2435.6 | Corriente
134 | 34 | 119.23 | Corriente
135 | 35 | 3382.15 | Ahorros
136 | 36 | 8561.22 | Corriente
137 | 37 | 6183.23 | Ahorros
138 | 38 | 6496.23 | Corriente
139 | 39 | 4077.6 | Ahorros
140 | 40 | 2954.25 | Ahorros
141 | 41 | 3949.94 | Ahorros
142 | 42 | 7163.02 | Ahorros
143 | 43 | 1972.57 | Ahorros
144 | 44 | 6741.29 | Ahorros
145 | 45 | 7977.24 | Ahorros
146 | 46 | 1558.94 | Ahorros
147 | 47 | 4592.21 | Ahorros
148 | 48 | 9074.07 | Corriente
149 | 49 | 1791.5 | Ahorros
150 | 50 | 7162.27 | Ahorros
151 | 51 | 9673.36 | Ahorros
152 | 52 | 4613.57 | Ahorros
153 | 53 | 2636.21 | Corriente
154 | 54 | 8811.3 | Ahorros
155 | 55 | 1870.36 | Corriente
156 | 56 | 6791.3 | Corriente
157 | 57 | 303.11 | Corriente
158 | 58 | 4417.65 | Ahorros
159 | 59 | 6583.32 | Corriente
160 | 60 | 1798.88 | Corriente
161 | 61 | 7308.91 | Ahorros
162 | 62 | 8030.07 | Ahorros
163 | 63 | 6216.02 | Corriente
164 | 64 | 2286.55 | Corriente
165 | 65 | 5517.4 | Ahorros
166 | 66 | 4409.23 | Corriente
167 | 67 | 5636.58 | Ahorros
168 | 68 | 2071.68 | Corriente
169 | 69 | 949.96 | Ahorros
170 | 70 | 540.56 | Corriente
171 | 71 | 9252.93 | Ahorros
172 | 72 | 6529.87 | Ahorros
173 | 73 | 3329.14 | Ahorros
174 | 74 | 8327.4 | Ahorros
175 | 75 | 1626.81 | Ahorros
176 | 76 | 1980.35 | Ahorros
177 | 77 | 2005.48 | Ahorros
178 | 78 | 4196.66 | Ahorros
179 | 79 | 9033.88 | Ahorros
180 | 80 | 1022.44 | Corriente
181 | 81 | 7190.92 | Corriente
182 | 82 | 4741.89 | Corriente
183 | 83 | 4574.02 | Ahorros
184 | 84 | 2888.82 | Corriente
185 | 85 | 234.03 | Corriente
186 | 86 | 6333.61 | Ahorros
187 | 87 | 9507.69 | Corriente
188 | 88 | 7030.03 | Ahorros
189 | 89 | 695.8 | Ahorros
190 | 90 | 3626.76 | Ahorros
191 | 91 | 7501.36 | Corriente
192 | 92 | 9021.91 | Ahorros
193 | 93 | 3138.69 | Ahorros
194 | 94 | 5453.7 | Corriente
195 | 95 | 2661.07 | Corriente
196 | 96 | 7743.04 | Corriente
197 | 97 | 5311.49 | Corriente
198 | 98 | 9049.45 | Ahorros
199 | 99 | 9366.13 | Ahorros
200 | 100 | 4887.4 | Ahorros
